image_path,label
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0000.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0001.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0002.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0003.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0004.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0005.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0006.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0007.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0008.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0009.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0010.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0011.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0012.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0013.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0014.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0015.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0016.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0017.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0018.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0019.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0020.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0021.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0022.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0023.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0024.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0025.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0026.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0027.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0028.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0029.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0030.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0031.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0032.jpg,loide
C:\Users\rafae\Documents\Projetos\Santander Ciência de Dados\desafios_de_codigo\Machine_learning\debi_e_loide\pasta_loide_dataset\loide_0033.jpg,loide
